Tiempo ,Avance,Realiza,Presenta,Textos ,Material,Foros,Aprueba
3.72,32,45.27,33.33,22.73,100,25,1
1,20,16,0,18.18,33.33,12.5,0
7.45,72,54.55,0,68.18,100,50,1
0.15,8,9.47,0,4.55,33.33,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.25,36,10.23,0,40.91,0,0,0
0.1,44,12.5,0,50,0,0,0
1.13,20,5.68,0,22.73,0,0,0
6.22,48,30.21,0,50,33.33,37.5,1
1.62,100,69.79,66.67,100,100,12.5,1
0.02,4,1.14,0,4.55,0,0,0
0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7.07,100,61.46,33.33,100,100,12.5,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.63,96,41.67,0,100,66.67,0,1
12.3,100,58.33,33.33,100,100,0,1
0,0,0,0,0,0,0,0
0.82,8,9.47,0,4.55,33.33,0,0
7.3,28,32.67,0,18.18,100,12.5,1
3.47,8,11.65,0,9.09,0,37.5,1
3.47,96,44.79,0,100,66.67,12.5,1
0.98,48,21.97,33.33,54.55,0,0,0
0,0,0,0,0,0,0,0
2.48,16,25.19,0,9.09,66.67,25,1
2.58,100,53.13,0,100,100,12.5,1
2.87,96,51.04,0,100,66.67,37.5,1
0.58,16,18.94,0,9.09,66.67,0,0
4.98,36,17.42,0,36.36,33.33,0,1
5.47,96,47.92,0,100,66.67,25,1
0.87,8,19.79,0,0,66.67,12.5,0
1.57,16,7.67,0,18.18,0,12.5,0
1.38,100,50,0,100,100,0,0
3,60,44.89,0,54.55,100,25,1
8.28,100,72.92,66.67,100,100,25,1
0.83,8,2.27,0,9.09,0,0,0
0.95,24,6.82,0,27.27,0,0,0
4.55,12,23.11,0,9.09,33.33,50,1
0.03,16,27.27,33.33,9.09,66.67,0,0
0,0,0,0,0,0,0,0
6.25,100,70.83,33.33,100,100,50,1
11.93,100,90.63,100,100,100,62.5,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.87,56,30.31,0,54.55,66.67,0,1
21.67,100,65.63,0,100,100,62.5,1
2.02,80,37.12,0,81.82,66.67,0,1
0.45,24,14.02,0,22.73,33.33,0,0
0.23,16,4.55,0,18.18,0,0,0
0,0,0,0,0,0,0,0
0.35,96,41.67,0,100,66.67,0,0
0.78,100,50,0,100,100,0,0
0.43,100,50,0,100,100,0,0
1.27,20,5.68,0,22.73,0,0,0
0,0,0,0,0,0,0,0
